instructor_id,login_count,avg_session_time,assignments_created,student_count,engagement_score,purchased_package,institution_type
1,11,57.95,8,101,0.4,1,HigherEd
2,9,65.21,1,46,0.02,0,K12
3,10,74.31,3,125,0.19,0,HigherEd
4,19,34.69,5,195,0.68,1,HigherEd
5,9,49.18,0,13,0.5,0,Tutoring
6,8,NA,0,1,0.73,0,Tutoring
7,8,31.46,5,202,0.69,0,HigherEd
8,13,32.53,4,87,0.83,1,K12
9,7,52.23,7,117,0.79,1,HigherEd
10,13,43.78,7,121,0.73,1,HigherEd
11,10,63.31,4,77,0.37,0,K12
12,7,48.51,6,96,0.02,0,K12
13,19,82.72,8,140,0.49,1,HigherEd
14, 12 ,11.53,6,99,0.47,0,K12
15,14,60.82,2,232,0.36,1,HigherEd
16,8,46.54,8,189,0.58,1,HigherEd
17,14,29.33,4,185,0.11,0,HigherEd
18,13,95.78,9,50,0.41,0,K12
19,13,50.86,3,269,0.46,1,HigherEd
20,15,25.91,7,195,0.29,0,HigherEd
21,17,45.26,11,98,0.92,1,K12
22,11,64.54,4,179,0.28,0,HigherEd
23,8,48.46,4,49,0.35,1,K12
24,14,46.03,8,71,0.51,1,K12
25,15,64.08,7,94,0.6,1,K12
26,12,27.88,3,126,0.37,0,HigherEd
27,13,45.91,3,291,0.61,0,HigherEd
28,9,53.84,1,252,0.5,1,HigherEd
29,14,87.44,8,NA,0.45,1,Unknown
30,12,82.44,0,15,0.53,1,Tutoring
31,12,25.37,6,135,0.28,0,HigherEd
32,13,47.52,7,125,0.6,1,HigherEd
33,7,50.62,0,103,0.53,0,HigherEd
34,15,37.89,7,63,0.33,1,K12
35,16,61.51,8,224,0.55,0,HigherEd
36,6,62.08,8,205,0.18,1,HigherEd
37,6,46.52,0,198,0.36,0,HigherEd
38,14,72.16,7,189,0.76,0,HigherEd
39,11,51.22,8,188,0.53,1,HigherEd
40,7,44.91,6,181,0.57,1,HigherEd
41,6,45.49,3,236,0.46,0,HigherEd
42,10,81.32,3,198,0.12,0,HigherEd
43,13,51.84,10,196,0.27,0,HigherEd
44,16,74.53,6,97,0.77,0,K12
45,16,13.11,4,120,0.57,1,HigherEd
46,13,13.02,8,243,0.38,1,HigherEd
47,12,86.21,10,100,0.42,1,K12
48,13,62.56,7,109,0.93,1,HigherEd
49,12,52.68,4,1,0.51,0,Tutoring
50,8,43.49,0,159,0.68,0,HigherEd
51,8,34.39,0,111,0.27,0,HigherEd
52,15,1.0,n/a,70,0.26,0,K12
53,13,77.9,4,166,0.75,1,HigherEd
54,9,46.59,3,116,0.4,1,HigherEd
55,13,44.84,9,126,0.4,1,HigherEd
56,10,76.64,0,195,0.48,0,HigherEd
57,9,33.15,1,123,0.27,1,HigherEd
58,9,43.3,5,136,0.56,0,HigherEd
59,10,12.45,4,140,0.56,0,HigherEd
60,7,50.35,0,180,0.55,0,HigherEd
61,19,46.73,7,213,0.67,1,HigherEd
62,12,56.77,3,195,0.26,0,HigherEd
63,15,51.54,5,186,0.27,1,HigherEd
64,13,48.64,5,83,0.15,0,K12
65,16,53.04,10,84,0.53,1,K12
66,14,29.52,1,1,0.7,0,Tutoring
67,13,97.87,5,155,0.77,1,HigherEd
68,11,46.11,7,1,0.57,1,Tutoring
69,11,33.34,3,170,0.83,1,HigherEd
70,8,1.0,3,101,0.8,0,HigherEd
71,11,55.33,4,132,0.33,1,HigherEd
72,9,44.34,1,62,0.3,0,K12
73,13,1.0,6,99,0.38,0,K12
74,14,59.43,2,78,0.66,0,K12
75,11,40.42,2,45,0.06,0,K12
76,9,13.87,5,17,0.83,0,Tutoring
77,17,47.28,7,90,0.2,1,K12
78,12,58.45,0,164,0.68,1,HigherEd
79,17,78.31,9,1,0.28,1,Tutoring
80,11,48.97,8,49,0.9,0,K12
81,15,33.49,6,324,0.55,0,HigherEd
82,12,49.85,0,87,0.49,1,K12
83,10,43.51,5,134,0.14,1,HigherEd
84,16,57.37,1,115,0.62,1,HigherEd
85,19,45.57,7,195,0.72,1,HigherEd
86,14,55.02,4,130,0.91,1,HigherEd
87,17,46.65,9,78,0.57,0,K12
88,11,51.28,1,183,0.61,0,HigherEd
89,4,44.31,2,244,0.32,1,HigherEd
90,12,28.49,8,249,0.17,0,HigherEd
91,15,73.41,4,53,0.72,1,K12
92,13,30.93,4,166,0.41,0,HigherEd
93,11,44.34,9,78,0.72,1,K12
94,14,56.68,4,167,0.61,0,HigherEd
95,14,59.3,3,158,0.6,0,HigherEd
96,16,48.82,6,11,0.39,0,Tutoring
97,10,49.27,4,152,0.55,1,HigherEd
98,10,33.82,5,245,0.57,1,HigherEd
99,8,24.58,5,139,0.43,0,HigherEd
100,13,22.06,7,103,0.49,0,HigherEd
